TIME_S,ACC_VERTICAL_MS2
1156.105692,-9.336523828761646
1156.113504,-9.46555330639503
1156.121316,-9.438785823503641
1156.129128,-9.43622125124062
1156.13694,-9.362912667328677
1156.144752,-9.277707666406615
1156.152564,-9.306804236545357
1156.160376,-9.187036693004602
1156.168188,-8.98933649868826
1156.176,-8.850293729516741
1156.183812,-8.747536310630222
1156.191624,-8.439747605516676
1156.199436,-7.993049396254655
1156.207248,-7.666146331119098
1156.21506,-7.5636865338239065
1156.222872,-7.52701482994981
1156.230684,-7.500377455065328
1156.238496,-7.715241399969565
1156.246308,-7.99115205799929
1156.25412,-8.413573313418622
1156.261932,-8.81129827587286
1156.269744,-8.84068634634239
1156.277556,-9.055549665163921
1156.285368,-9.28494351947413
1156.29318,-9.260531002597448
1156.300992,-9.214123696840238
1156.308804,-9.15312869977292
1156.316616,-9.304473710337811
1156.324428,-9.070125595948296
1156.33224,-8.71607156265534
1156.340052,-8.882088897903333
1156.347864,-8.962672785304045
1156.355676,-9.006569809627972
1156.363488,-9.145782413577875
1156.3713,-9.17260589858415
1156.379112,-9.25075123990849
1156.386924,-9.287394613348027
1156.394736,-9.250797304929517
1156.402548,-9.155533540084067
1156.41036,-9.21656904363394
1156.418172,-9.272727476897389
1156.425984,-9.29716930025658
1156.433796,-9.27032225497002
1156.441608,-9.209358189576843
1156.44942,-9.055544404939573
1156.457232,-8.930997489280802
1156.465044,-8.84312276259118
1156.472856,-8.760053709824433
1156.480668,-8.757498982132121
1156.48848,-8.859949593902915
1156.496292,-9.05755763686788
1156.504104,-9.338438299299431
1156.511916,-9.492428831125615
1156.519728,-9.548465719116829
1156.52754,-9.62937874947825
1156.535352,-9.538748773984715
1156.543164,-9.633886647847024
1156.550976,-9.729390739524897
1156.558788,-9.629612832830457
1156.5666,-9.380545443897667
1156.574412,-9.284259825563407
1156.582224,-9.682243924937897
1156.590036,-10.053343443887634
1156.597848,-10.358885520706556
1156.60566,-10.590041056328777
1156.613472,-11.172919304746527
1156.621284,-11.836216609781971
1156.629096,-11.829390699856722
1156.636908,-11.557088033534274
1156.64472,-10.845056677725164
1156.652532,-9.88003729077257
1156.660344,-9.451436382651146
1156.668156,-10.23239144165578
1156.675968,-10.894472043838286
1156.68378,-10.453354132982792
1156.691592,-9.820716451197905
1156.699404,-11.778025632140793
1156.707216,-12.154466925678165
1156.715028,-11.279823599872502
1156.72284,-11.437607208714814
1156.730652,-11.896111027375284
1156.738464,-10.301033098617722
1156.746276,-10.044348915626568
1156.754088,-9.481945407277701
1156.7619,-9.95853891251808
1156.769712,-11.205349396158125
1156.777524,-11.369042956884005
1156.785336,-10.949208297666019
1156.793148,-10.507391378443728
1156.80096,-10.034185367805867
1156.808772,-9.472746234073817
1156.816584,-8.961429148710264
1156.824396,-8.6562760033732
1156.832208,-8.382195722335098
1156.84002,-8.266802704279325
1156.847832,-8.25271367715474
1156.855644,-8.159324214816156
1156.863456,-8.14551845901544
1156.871268,-7.924530274644274
1156.87908,-7.542598904590516
1156.886892,-7.4188852615986365
1156.894704,-7.573083615739414
1156.902516,-7.696680070678821
1156.910328,-7.939294676522538
1156.91814,-8.022354803021846
1156.925952,-8.124189918666495
1156.933764,-8.374859680960988
1156.941576,-8.674701191316139
1156.949388,-8.628870156503492
1156.9572,-8.580249837880736
1156.965012,-8.902019548471081
1156.972824,-9.237992240298379
1156.980636,-9.35022091667188
1156.988448,-9.412910922762986
1156.99626,-9.241694960119842
1157.004072,-9.117237995791708
1157.011884,-8.971110179860105
1157.019696,-8.787658955759792
1157.027508,-8.646293592642248
1157.03532,-8.44931189202884
1157.043132,-8.153652899061697
1157.050944,-7.994386962957018
1157.058756,-8.179338579719884
1157.066568,-8.106472264420235
1157.07438,-7.951276250942756
1157.082192,-7.6535746688408235
1157.090004,-7.437874172464095
1157.097816,-7.80840649143342
1157.105628,-8.787361668002221
1157.11344,-9.47094176423986
1157.121252,-10.133179056906908
1157.129064,-10.754099221414478
1157.136876,-11.472873237275856
1157.144688,-11.676662812767672
1157.1525,-11.449854730644168
1157.160312,-11.181724951582733
1157.168124,-10.935046727824282
1157.175936,-11.002729760231869
1157.183748,-11.160972436533594
1157.19156,-11.41317988241526
1157.199372,-11.822027759312729
1157.207184,-12.086330702740298
1157.214996,-12.265174611222342
1157.222808,-12.379724219500538
1157.23062,-12.558586441426781
1157.238432,-12.835619114633102
1157.246244,-12.639381827663533
1157.254056,-12.029041412085988
1157.261868,-11.378930269626416
1157.26968,-10.549243541040328
1157.277492,-9.71729577886117
1157.285304,-9.115381769009167
1157.293116,-8.705387730752268
1157.300928,-8.608881359595914
1157.30874,-8.847008866180822
1157.316552,-8.931138492585692
1157.324364,-8.934797462779807
1157.332176,-9.040494760040252
1157.339988,-9.042066827652945
1157.3478,-8.963326397640426
1157.355612,-9.175519097466239
1157.363424,-9.3327283881227
1157.371236,-9.197378187135618
1157.379048,-9.132749898005912
1157.38686,-8.940356514326638
1157.394672,-8.692130863025623
1157.402484,-8.4516232186726
1157.410296,-8.560349143351033
1157.418108,-8.765546894415305
1157.42592,-8.953876238419765
1157.433732,-9.04275263094377
1157.441544,-8.846864690186194
1157.449356,-8.712018915530617
1157.457168,-8.5963681626796
1157.46498,-8.377780264240622
1157.472792,-8.286503769474503
1157.480604,-8.25341083273633
1157.488416,-8.166154778813882
1157.496228,-8.261993336787421
1157.50404,-8.47365167616089
1157.511852,-8.516744442149648
1157.519664,-8.517045363852505
1157.527476,-8.799840940674695
1157.535288,-8.733549151487118
1157.5431,-8.715456148550633
1157.550912,-8.753345532712078
1157.558724,-8.752445456313891
1157.566536,-8.999549969244907
1157.574348,-9.17932349672332
1157.58216,-9.242667881556223
1157.589972,-9.306657154500272
1157.597784,-9.319532009008539
1157.605596,-9.289834022521973
1157.613408,-9.271372163187417
1157.62122,-9.192174911499023
1157.629032,-9.194480718784025
1157.636844,-9.202078375464106
1157.644656,-9.189870191447396
1157.652468,-9.175360381755837
1157.66028,-9.169371089571557
1157.668092,-9.244907404783516
1157.675904,-9.325748662095393
1157.683716,-9.389079734803223
1157.691528,-9.466927203980742
1157.69934,-9.576051491563039
1157.707152,-9.743936113131943
1157.714964,-9.946868096628496
1157.722776,-10.139161968756069
1157.730588,-10.329758609433815
1157.7384,-10.289175103389086
1157.746212,-10.075695837209363
1157.754024,-10.081762484952499
1157.761836,-9.930632551811275
1157.769648,-9.45605038247767
1157.77746,-9.086866374390492
1157.785272,-8.95031401071386
1157.793084,-8.992244030873458
1157.800896,-9.149434871004766
1157.808708,-9.272204111248668
1157.81652,-9.520136564619042
1157.824332,-9.87408250255946
1157.832144,-10.409609368428995
1157.839956,-11.032854621738759
1157.847768,-11.586058061497932
1157.85558,-11.84696497640633
1157.863392,-11.290491547456979
1157.871204,-10.994598293084703
1157.879016,-10.315165495671119
1157.886828,-8.684774280128583
1157.89464,-8.126044964128155
1157.902452,-8.460796424320765
1157.910264,-8.956521820588767
1157.918076,-9.625299395740818
1157.925888,-10.454614634644445
1157.9337,-11.135692684331797
1157.941512,-11.070730282353306
1157.949324,-11.292942194082391
1157.957136,-10.7342613556418
1157.964948,-11.142501265100497
1157.97276,-11.312059900969073
1157.980572,-10.413196217995452
1157.988384,-9.09711206737369
1157.996196,-9.156483870436459
1158.004008,-10.145861437719192
1158.01182,-10.530527246607324
1158.019632,-10.742912914755097
1158.027444,-10.567979391696694
1158.035256,-10.45538587084444
1158.043068,-10.205417291726201
1158.05088,-9.835158160473433
1158.058692,-9.344585222984882
1158.066504,-9.130700447061036
1158.074316,-8.989658471809188
1158.082128,-8.852625214090791
1158.08994,-8.828727603508032
1158.097752,-8.65464551980099
1158.105564,-8.511358693997432
1158.113376,-8.380107911374921
1158.121188,-8.482260660464215
1158.129,-8.59306171934293
1158.136812,-8.67209783526484
1158.144624,-8.826303995694667
1158.152436,-8.947070697485577
1158.160248,-9.005856289259986
1158.16806,-9.072669623390077
1158.175872,-9.22139612650612
1158.183684,-9.380046314229247
1158.191496,-9.547736358325215
1158.199308,-9.746264961152827
1158.20712,-9.889251631352625
1158.214932,-9.946791406173434
1158.222744,-9.92113187238927
1158.230556,-9.820006833405435
1158.238368,-9.646881504786425
